mtt,mu_pt,mu_abseta,weight,pileup
1799.2548163390898,210.3784,0.17425537,1.0,24.0
2132.5305922503812,266.09018,0.53149414,1.0,14.0
2411.430164457944,481.40723,0.5177002,1.0,15.0
798.5792310364487,307.65756,0.024055481,1.0,29.0
1847.1499735226068,167.10176,0.8914795,1.0,30.0
1578.4848209393356,253.66806,0.0725708,1.0,22.0
1473.9502013480217,162.70149,1.1711426,1.0,23.0
2554.494181979364,313.50427,0.23690796,1.0,21.0
1863.3046525400277,75.22397,0.37976074,1.0,15.0
1726.1179708903692,153.3025,0.46636963,1.0,17.0
1861.692161822084,103.85488,0.19342041,1.0,17.0
1475.7493585462119,134.45393,0.46185303,1.0,23.0
1679.883794541155,70.68401,1.4609375,1.0,24.0
1854.7424081965235,77.94124,0.9802246,1.0,24.0
2127.8539739847297,63.69763,0.33898926,1.0,20.0
2147.641875116289,60.23196,0.40740967,1.0,25.0
2530.278567265235,571.0419,0.6179199,1.0,28.0
2424.348271015734,480.96988,0.46228027,1.0,20.0
1548.1007204117118,117.50727,0.12689209,1.0,25.0
2127.1588022417814,290.14896,1.8032227,1.0,19.0
2062.728808448469,482.7935,0.7919922,1.0,24.0
1666.2046085103436,218.71867,1.0791016,1.0,21.0
1795.8979777997047,194.77591,1.0664062,1.0,18.0
1484.999194549262,109.93357,1.3691406,1.0,13.0
1597.575872110058,210.14635,1.9177246,1.0,18.0
2373.988729042019,213.8793,0.92456055,1.0,30.0
2713.319095635671,541.26154,0.09275818,1.0,22.0
1293.5517386798183,134.24733,0.3453369,1.0,28.0
2088.059054060359,95.29118,0.24417114,1.0,15.0
1814.4203876062268,83.398155,1.0852051,1.0,13.0
1264.8932805248423,123.293625,0.15338135,1.0,23.0
1928.9748388043497,87.19069,0.04800415,1.0,26.0
2003.6855557409353,87.496704,0.15090942,1.0,21.0
1818.4157380769684,104.16341,0.8688965,1.0,30.0
1663.088799455719,359.8184,1.1459961,1.0,10.0
1704.7566364500972,68.4569,0.2078247,1.0,24.0
1742.8652006755428,103.792366,0.4022827,1.0,27.0
1755.3481424614706,118.73011,1.2346191,1.0,21.0
2914.8919085303687,326.36166,1.019043,1.0,28.0
2307.018198165396,76.02108,0.3499756,1.0,18.0
1647.9638486093163,206.90707,0.6870117,1.0,21.0
2247.90642480646,268.03427,0.7701416,1.0,21.0
1397.9261811202537,182.66548,0.11680603,1.0,15.0
